No.,VIN,stock_num,year,make,model,trim,odometer,color exterior,color interior,sale price,url,first date seen,last date seen,days in stock,
1,5YJ3E1EAXPF699185,T699185,2023,Tesla,Model 3,Rwd,"22,230",Deep Blue Metallic,Black,"$30,249.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1eaxpf699185/,09/09/2026,23/09/2026,14,(example)
2,5YJSA1E55NF475006,B475006L,2022,Tesla,Model S,Awd,"70,362",Solid Black,Black,"$38,999.00",https://evauto.com/vehicle/used-2022-tesla-model-s-awd-5yjsa1e55nf475006/,09/09/2026,,1,
3,7SAXCAE55SF467387,B467387L,2025,Tesla,Model X,Awd,"10,464",Solid Black,White,"$85,399.00",https://evauto.com/vehicle/used-2025-tesla-model-x-awd-7saxcae55sf467387/,09/09/2026,,1,
4,5YJ3E1EBXLF790637,T790637,2020,Tesla,Model 3,Long Range,"89,374",Solid Black,Black,"$23,789.00",https://evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1ebxlf790637/,09/09/2026,,1,
5,7SAXCBE56NF333868,B333868L,2022,Tesla,Model X,Awd,"83,123",Solid Black,Black,"$42,999.00",https://evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcbe56nf333868/,09/09/2026,,1,
6,5YJ3E1EA4NF375324,B375324,2022,Tesla,Model 3,Rwd,"62,504",Pearl White Multi-coat,Black,"$24,749.00",https://evauto.com/vehicle/used-2022-tesla-model-3-rwd-5yj3e1ea4nf375324/,09/09/2026,,1,
7,5YJ3E1EC2PF708074,T708074,2023,Tesla,Model 3,Performance,"35,041",Gray,Black,"$34,749.00",https://evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec2pf708074/,09/09/2026,,1,
8,7SAYGDEE4PA195848,B195848,2023,Tesla,Model Y,Long Range,"25,038",Solid Black,Black,"$37,389.00",https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee4pa195848/,09/09/2026,,1,
9,7SAYGDEF9NF377733,T377733,2022,Tesla,Model Y,Performance,"82,842",Pearl White Multi-coat,Black,"$30,498.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef9nf377733/,09/09/2026,,1,
10,5YJ3E1EB8JF113843,T113843,2018,Tesla,Model 3,Long Range,"68,252",Gray,Black,"$23,489.00",https://evauto.com/vehicle/used-2018-tesla-model-3-long-range-5yj3e1eb8jf113843/,09/09/2026,,1,
11,7SAYGDEF8NF494185,L494185,2022,Tesla,Model Y,Performance,"57,919",Pearl White Multi-coat,Black,"$33,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf494185/,09/09/2026,,1,
12,5YJYGDEF5MF212063,L212063,2021,Tesla,Model Y,Performance,"94,500",Pearl White Multi-coat,Black,"$25,999.00",https://evauto.com/vehicle/used-2021-tesla-model-y-performance-5yjygdef5mf212063/,09/09/2026,,1,
13,7SAYGDEEXRA246336,T246336,2024,Tesla,Model Y,Long Range,"56,527",Gray,Black,"$36,098.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdeexra246336/,09/09/2026,,1,
14,5YJ3E1EA8KF192987,T192987,2019,Tesla,Model 3,Mid Range,"52,772",Solid Black,Black,"$24,489.00",https://evauto.com/vehicle/used-2019-tesla-model-3-mid-range-5yj3e1ea8kf192987/,09/09/2026,,1,
15,5YJYGDEE0LF056987,L056987,2020,Tesla,Model Y,Long Range,"92,853",Red Multi-coat,White,"$25,698.00",https://evauto.com/vehicle/used-2020-tesla-model-y-long-range-5yjygdee0lf056987/,09/09/2026,,1,
16,5YJYGDEEXMF061020,T061020,2021,Tesla,Model Y,Long Range,"77,061",Solid Black,White,"$29,189.00",https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdeexmf061020/,09/09/2026,,1,
17,7SAYGDEF5NF542791,B542791,2022,Tesla,Model Y,Performance,"77,560",Pearl White Multi-coat,White,"$33,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef5nf542791/,09/09/2026,,1,
18,5YJ3E1EBXNF180188,L180188,2022,Tesla,Model 3,Long Range,"77,604",Pearl White Multi-coat,Black,"$27,989.00",https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1ebxnf180188/,09/09/2026,,1,
19,5YJ3E1EC8PF499794,T499794,2023,Tesla,Model 3,Performance,"49,223",Pearl White Multi-coat,Black,"$32,399.00",https://evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec8pf499794/,09/09/2026,,1,
20,7SAYGDEFXNF546805,B546805,2022,Tesla,Model Y,Performance,"93,811",Gray,Black,"$29,489.00",https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdefxnf546805/,09/09/2026,,1,
21,5YJ3E1EA6PF473323,T473323,2023,Tesla,Model 3,Rwd,"57,744",Gray,Black,"$26,098.00",https://evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea6pf473323/,09/09/2026,,1,
22,7SAYGDEE6RA238766,B238766,2024,Tesla,Model Y,Long Range,"54,929",Solid Black,White,"$36,489.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee6ra238766/,09/09/2026,,1,
