vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
5YJ3E1EAXPF699185,T699185,2023,Tesla,Model 3,Rwd,22230,Deep Blue Metallic,Black,30249,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1eaxpf699185/,09/09/2026,Available,5,5
5YJSA1E55NF475006,B475006L,2022,Tesla,Model S,Awd,70362,Solid Black,Black,38999,https://www.evauto.com/vehicle/used-2022-tesla-model-s-awd-5yjsa1e55nf475006/,09/09/2026,Available,5,5
7SAXCAE55SF467387,B467387L,2025,Tesla,Model X,Awd,10464,Solid Black,White,85399,https://www.evauto.com/vehicle/used-2025-tesla-model-x-awd-7saxcae55sf467387/,09/09/2026,Available,5,5
5YJ3E1EBXLF790637,T790637,2020,Tesla,Model 3,Long Range,89374,Solid Black,Black,23789,https://www.evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1ebxlf790637/,09/09/2026,Available,5,5
7SAXCBE56NF333868,B333868L,2022,Tesla,Model X,Awd,83123,Solid Black,Black,42999,https://evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcbe56nf333868/,09/09/2026,09/14/2026,5,5
5YJ3E1EA4NF375324,B375324,2022,Tesla,Model 3,Rwd,62504,Pearl White Multi-coat,Black,24749,https://www.evauto.com/vehicle/used-2022-tesla-model-3-rwd-5yj3e1ea4nf375324/,09/09/2026,Available,5,5
5YJ3E1EC2PF708074,T708074,2023,Tesla,Model 3,Performance,35041,Gray,Black,34749,https://www.evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec2pf708074/,09/09/2026,Available,5,5
7SAYGDEE4PA195848,B195848,2023,Tesla,Model Y,Long Range,25038,Solid Black,Black,37389,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee4pa195848/,09/09/2026,Available,5,5
7SAYGDEF9NF377733,T377733,2022,Tesla,Model Y,Performance,82842,Pearl White Multi-coat,Black,30498,https://evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef9nf377733/,09/09/2026,09/14/2026,5,5
5YJ3E1EB8JF113843,T113843,2018,Tesla,Model 3,Long Range,68252,Gray,Black,23489,https://www.evauto.com/vehicle/used-2018-tesla-model-3-long-range-5yj3e1eb8jf113843/,09/09/2026,Available,5,5
7SAYGDEF8NF494185,L494185,2022,Tesla,Model Y,Performance,57919,Pearl White Multi-coat,Black,33489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef8nf494185/,09/09/2026,Available,5,5
5YJYGDEF5MF212063,L212063,2021,Tesla,Model Y,Performance,94500,Pearl White Multi-coat,Black,25999,https://evauto.com/vehicle/used-2021-tesla-model-y-performance-5yjygdef5mf212063/,09/09/2026,09/14/2026,5,5
7SAYGDEEXRA246336,T246336,2024,Tesla,Model Y,Long Range,56527,Gray,Black,36098,https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdeexra246336/,09/09/2026,09/14/2026,5,5
5YJ3E1EA8KF192987,T192987,2019,Tesla,Model 3,Mid Range,52772,Solid Black,Black,24489,https://www.evauto.com/vehicle/used-2019-tesla-model-3-mid-range-5yj3e1ea8kf192987/,09/09/2026,Available,5,5
